AALI,10500,10550,10575,10375,10550,50
ABBA,132,132,140,132,133,1
ABDA,6300,6300,6300,6300,6300,0
ABMM,1595,1595,1880,1595,1770,175
ACES,1750,1750,1770,1715,1735,15
ACST,1285,1290,1290,1275,1280,5
ADES,1050,1075,1075,1020,1030,20
ADHI,1430,1445,1465,1430,1450,20
ADMF,9950,9950,9950,9925,9950,0
ADMG,242,244,248,238,242,0
ADRO,1270,1295,1295,1260,1295,25
AGII,525,525,535,525,530,5
AGRO,280,280,284,280,282,2
AGRS,310,308,312,308,312,2
AHAP,59,58,59,58,59,0
AIMS,180,180,180,180,180,0
AISA,168,168,168,168,168,0
AKKU,50,50,50,50,50,0
AKPI,520,570,570,482,482,38
AKRA,4010,4010,4050,3930,3980,30
AKSI,262,256,256,256,256,6
ALDO,350,350,388,350,354,4
ALKA,340,340,384,340,384,44
ALMI,500,500,500,496,500,0
ALTO,396,396,396,396,396,0
AMAG,310,310,320,310,316,6
AMFG,5450,5450,5450,5450,5450,0
AMIN,354,354,400,354,400,46
AMRT,930,930,950,920,930,0
ANDI,1750,1745,1770,1740,1770,20
ANJT,915,915,915,915,915,0
ANTM,715,715,730,715,725,10
APEX,840,840,840,840,840,0
APIC,515,520,525,520,520,5
APII,171,177,177,170,173,2
APLI,80,80,90,80,90,10
APLN,160,160,169,159,165,5
APOL,58,58,58,58,58,0
ARGO,825,825,825,825,825,0
ARII,800,800,800,800,800,0
ARMY,280,280,280,278,278,2
ARNA,510,510,510,505,505,5
ARTA,370,370,370,370,370,0
ARTI,50,50,50,50,50,0
ARTO,147,146,155,143,153,6
ASBI,312,312,312,310,310,2
ASDM,1070,1070,1070,1070,1070,0
ASGR,1215,1205,1250,1200,1240,25
ASII,7200,7250,7450,7175,7450,250
ASJT,210,210,216,210,214,4
ASMI,760,770,790,760,770,10
ASRI,306,308,318,308,314,8
ASRM,2100,2180,2180,1900,1900,200
ASSA,770,775,780,770,770,0
ATIC,855,855,855,855,855,0
ATPK,194,194,194,194,194,0
AUTO,1450,1450,1455,1445,1450,0
BABP,50,50,50,50,50,0
BACA,300,300,300,278,290,10
BAJA,98,98,99,97,98,0
BALI,1680,1680,2100,1680,2100,420
BAPA,90,90,91,90,91,1
BATA,595,595,595,595,595,0
BAYU,1765,1755,1755,1755,1755,10
BBCA,28675,29000,29475,28650,28700,25
BBHI,170,170,170,170,170,0
BBKP,278,278,282,278,280,2
BBLD,472,472,472,472,472,0
BBMD,1610,1610,1610,1610,1610,0
BBNI,8150,8150,8225,8025,8150,0
BBRI,3810,3890,3950,3860,3940,130
BBRM,50,50,50,50,50,0
BBTN,2400,2400,2440,2400,2420,20
BBYB,272,264,272,264,272,0
BCAP,212,212,222,206,222,10
BCIC,450,450,450,450,450,0
BCIP,82,81,82,78,80,2
BDMN,4680,4690,4790,4670,4700,20
BEEF,181,181,184,180,182,1
BEKS,50,50,50,50,50,0
BELL,585,600,600,535,545,40
BEST,244,244,246,238,240,4
BFIN,630,640,640,630,635,5
BGTG,72,62,74,62,72,0
BHIT,80,80,82,79,79,1
BIKA,212,212,216,212,214,2
BIMA,51,50,50,50,50,1
BINA,960,940,970,940,960,0
BIPI,50,50,50,50,50,0
BIPP,79,79,79,79,79,0
BIRD,2980,2980,3010,2930,2940,40
BISI,1465,1470,1480,1455,1470,5
BJBR,1620,1620,1630,1610,1610,10
BJTM,590,595,620,595,610,20
BKDP,56,56,58,53,56,0
BKSL,116,115,118,113,114,2
BKSW,180,180,180,180,180,0
BLTA,50,50,50,50,50,0
BLTZ,4950,4950,4950,4950,4950,0
BMAS,340,338,338,338,338,2
BMRI,7375,7450,7550,7400,7550,175
BMSR,120,120,120,120,120,0
BMTR,422,422,428,412,414,8
BNBA,278,280,280,278,278,0
BNBR,50,50,50,50,50,0
BNGA,970,970,980,955,960,10
BNII,234,236,236,232,236,2
BNLI,775,770,790,770,785,10
BOGA,765,765,765,760,765,0
BOLT,805,805,815,805,815,10
BORN,50,50,50,50,50,0
